title,year,duration,genre,rating,movie_url
The Matrix ,1999,2h 16min,"<a href=""/search/title?genres=action&amp;explore=title_type,genres"">Action</a>","<span itemprop=""ratingValue"">8.7</span>",https://www.imdb.com/title/tt0133093/
"The Good, the Bad and the Ugly ",1966,2h 58min,"<a href=""/search/title?genres=western&amp;explore=title_type,genres"">Western</a>","<span itemprop=""ratingValue"">8.8</span>",https://www.imdb.com/title/tt0060196/
The Lord of the Rings: The Two Towers ,2002,2h 59min,"<a href=""/search/title?genres=action&amp;explore=title_type,genres"">Action</a>","<span itemprop=""ratingValue"">8.7</span>",https://www.imdb.com/title/tt0167261/
Forrest Gump ,1994,2h 22min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.8</span>",https://www.imdb.com/title/tt0109830/
Fight Club ,1999,2h 19min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.8</span>",https://www.imdb.com/title/tt0137523/
The Lord of the Rings: The Fellowship of the Ring ,2001,2h 58min,"<a href=""/search/title?genres=action&amp;explore=title_type,genres"">Action</a>","<span itemprop=""ratingValue"">8.8</span>",https://www.imdb.com/title/tt0120737/
Pulp Fiction ,1994,2h 34min,"<a href=""/search/title?genres=crime&amp;explore=title_type,genres"">Crime</a>","<span itemprop=""ratingValue"">8.9</span>",https://www.imdb.com/title/tt0110912/
Schindler's List ,1993,3h 15min,"<a href=""/search/title?genres=biography&amp;explore=title_type,genres"">Biography</a>","<span itemprop=""ratingValue"">8.9</span>",https://www.imdb.com/title/tt0108052/
12 Angry Men ,1957,1h 36min,"<a href=""/search/title?genres=crime&amp;explore=title_type,genres"">Crime</a>","<span itemprop=""ratingValue"">9.0</span>",https://www.imdb.com/title/tt0050083/
The Godfather: Part II ,1974,3h 22min,"<a href=""/search/title?genres=crime&amp;explore=title_type,genres"">Crime</a>","<span itemprop=""ratingValue"">9.0</span>",https://www.imdb.com/title/tt0071562/
The Lord of the Rings: The Return of the King ,2003,3h 21min,"<a href=""/search/title?genres=action&amp;explore=title_type,genres"">Action</a>","<span itemprop=""ratingValue"">8.9</span>",https://www.imdb.com/title/tt0167260/
Inception ,2010,2h 28min,"<a href=""/search/title?genres=action&amp;explore=title_type,genres"">Action</a>","<span itemprop=""ratingValue"">8.8</span>",https://www.imdb.com/title/tt1375666/
The Godfather ,1972,2h 55min,"<a href=""/search/title?genres=crime&amp;explore=title_type,genres"">Crime</a>","<span itemprop=""ratingValue"">9.2</span>",https://www.imdb.com/title/tt0068646/
The Dark Knight ,2008,2h 32min,"<a href=""/search/title?genres=action&amp;explore=title_type,genres"">Action</a>","<span itemprop=""ratingValue"">9.0</span>",https://www.imdb.com/title/tt0468569/
